,Year,lon,Lat
1,2014-01-01,-3.85,57.2
2,2021-01-01,-4.33425,56.125639
3,2004-01-01,-5.74,57.26
4,2014-01-01,-2.43,57.11
7,2018-01-01,-5.46,56.3
10,2007-01-01,-2.45,57.12
12,1991-01-01,-3.927145,57.781474
13,2014-01-01,-2.72,57.17
14,2018-01-01,-3.55,56.75
16,2014-01-01,-3.69,57.15
18,1995-01-01,-4.45,57.32
19,1935-01-01,-5.558428,57.175284
20,2007-01-01,-2.45,57.12
22,1991-01-01,-3.927145,57.781474
23,2014-01-01,-2.72,57.17
24,2018-01-01,-3.55,56.75
26,2014-01-01,-3.69,57.15
28,1995-01-01,-4.45,57.32
29,1935-01-01,-5.558428,57.175284
30,2007-01-01,-2.45,57.12
32,1991-01-01,-3.927145,57.781474
33,2014-01-01,-2.72,57.17
34,2018-01-01,-3.55,56.75
36,2014-01-01,-3.69,57.15
38,1995-01-01,-4.45,57.32
39,1935-01-01,-5.558428,57.175284
41,2012-01-01,-2.68,57.61
44,2013-01-01,-3.18,56.88
45,2015-01-01,-3.79,57.25
46,2012-01-01,-2.52,57.03
49,2013-01-01,-3.32,56.99
52,1997-01-01,-3.94,56.72
53,2016-01-01,-5.12,56.22
54,2013-01-01,-2.71,57.18
56,2021-01-01,-3.652795,55.23799
57,1980-01-01,-5.342739,57.626178
58,2018-01-01,-4.323431,55.946095
59,2002-01-01,-5.22,58.24
61,2014-01-01,-3.85,57.2
62,2021-01-01,-4.33425,56.125639
63,2004-01-01,-5.74,57.26
64,2014-01-01,-2.43,57.11
67,2018-01-01,-5.46,56.3
70,2007-01-01,-2.45,57.12
72,1991-01-01,-3.927145,57.781474
73,2014-01-01,-2.72,57.17
74,2018-01-01,-3.55,56.75
76,2014-01-01,-3.69,57.15
78,1995-01-01,-4.45,57.32
79,1935-01-01,-5.558428,57.175284
81,2012-01-01,-2.68,57.61
84,2013-01-01,-3.18,56.88
85,2015-01-01,-3.79,57.25
86,2012-01-01,-2.52,57.03
89,2013-01-01,-3.32,56.99
90,2007-01-01,-2.45,57.12
92,1991-01-01,-3.927145,57.781474
93,2014-01-01,-2.72,57.17
94,2018-01-01,-3.55,56.75
96,2014-01-01,-3.69,57.15
98,1995-01-01,-4.45,57.32
99,1935-01-01,-5.558428,57.175284
102,1997-01-01,-3.94,56.72
103,2016-01-01,-5.12,56.22
104,2013-01-01,-2.71,57.18
106,2021-01-01,-3.652795,55.23799
107,1980-01-01,-5.342739,57.626178
108,2018-01-01,-4.323431,55.946095
109,2002-01-01,-5.22,58.24
112,1997-01-01,-3.94,56.72
113,2016-01-01,-5.12,56.22
114,2013-01-01,-2.71,57.18
116,2021-01-01,-3.652795,55.23799
117,1980-01-01,-5.342739,57.626178
118,2018-01-01,-4.323431,55.946095
119,2002-01-01,-5.22,58.24
120,2007-01-01,-2.45,57.12
122,1991-01-01,-3.927145,57.781474
123,2014-01-01,-2.72,57.17
124,2018-01-01,-3.55,56.75
126,2014-01-01,-3.69,57.15
128,1995-01-01,-4.45,57.32
129,1935-01-01,-5.558428,57.175284
130,2007-01-01,-2.45,57.12
132,1991-01-01,-3.927145,57.781474
133,2014-01-01,-2.72,57.17
134,2018-01-01,-3.55,56.75
136,2014-01-01,-3.69,57.15
138,1995-01-01,-4.45,57.32
139,1935-01-01,-5.558428,57.175284
142,1997-01-01,-3.94,56.72
143,2016-01-01,-5.12,56.22
144,2013-01-01,-2.71,57.18
146,2021-01-01,-3.652795,55.23799
147,1980-01-01,-5.342739,57.626178
148,2018-01-01,-4.323431,55.946095
149,2002-01-01,-5.22,58.24
152,1997-01-01,-3.94,56.72
153,2016-01-01,-5.12,56.22
154,2013-01-01,-2.71,57.18
156,2021-01-01,-3.652795,55.23799
157,1980-01-01,-5.342739,57.626178
158,2018-01-01,-4.323431,55.946095
159,2002-01-01,-5.22,58.24
162,2016-01-01,-4.57,55.04
163,1994-01-01,-4.26,57.55
164,1997-01-01,-5.28,58.16
165,1925-01-01,-5.426637,57.538532
168,2016-01-01,-2.42,57.03
169,2006-01-01,-4.18,57.64
172,1997-01-01,-3.94,56.72
173,2016-01-01,-5.12,56.22
174,2013-01-01,-2.71,57.18
176,2021-01-01,-3.652795,55.23799
177,1980-01-01,-5.342739,57.626178
178,2018-01-01,-4.323431,55.946095
179,2002-01-01,-5.22,58.24
182,1997-01-01,-3.94,56.72
183,2016-01-01,-5.12,56.22
184,2013-01-01,-2.71,57.18
186,2021-01-01,-3.652795,55.23799
187,1980-01-01,-5.342739,57.626178
188,2018-01-01,-4.323431,55.946095
189,2002-01-01,-5.22,58.24
190,2007-01-01,-2.45,57.12
192,1991-01-01,-3.927145,57.781474
193,2014-01-01,-2.72,57.17
194,2018-01-01,-3.55,56.75
196,2014-01-01,-3.69,57.15
198,1995-01-01,-4.45,57.32
199,1935-01-01,-5.558428,57.175284
200,2007-01-01,-2.45,57.12
202,1991-01-01,-3.927145,57.781474
203,2014-01-01,-2.72,57.17
204,2018-01-01,-3.55,56.75
206,2014-01-01,-3.69,57.15
208,1995-01-01,-4.45,57.32
209,1935-01-01,-5.558428,57.175284
210,2007-01-01,-2.45,57.12
212,1991-01-01,-3.927145,57.781474
213,2014-01-01,-2.72,57.17
214,2018-01-01,-3.55,56.75
216,2014-01-01,-3.69,57.15
218,1995-01-01,-4.45,57.32
