uuid,occurrenceID,raw_institutionCode,raw_collectionCode,taxonConceptID,eventDate,occurrenceYear,scientificName,vernacularName,taxonRank,taxonRankID,country,kingdom,phylum,classs,order,family,genus,genusGuid,species,speciesGuid,stateProvince,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,year,month,basisOfRecord,raw_occurrenceRemarks,left,right,dataProviderUid,dataProviderName,dataResourceUid,dataResourceName,assertions,speciesGroups,geospatialKosher,taxonomicKosher,collector,collectors,raw_scientificName,latLong,point1,point01,point001,point0001,point00001,namesLsid,license,identificationVerificationStatus,sensitive,gridReference,locationId,raw_taxonId,raw_samplingProtocol,raw_vernacularName,lifeStage
e32d0366-9661-4a5e-8a98-bc11e934d9cf,28820497_4204587_44,MammalWeb,Craibstone_critters_24,NHMSYS0000080190,1707609600000,1704067200000,Martes martes,Pine Marten,species,7000,United Kingdom,Animalia,Chordata,Mammalia,Carnivora,Mustelidae,Martes,NBNSYS0000134898,Martes martes,NHMSYS0000080190,Scotland,57.19,-2.22,707.1,2024,02,MachineObservation,pictured,5215,5215,dp277,MammalWeb,dr2930,MammalWeb records,"['countryInferredByCoordinates', 'gridReferenceCalculatedFromLatLong']","['Animals', 'Mammals']",true,true,15620,['15620'],Martes martes,"57.19,-2.22","57,-2","57.2,-2.2","57.19,-2.22","57.19,-2.22","57.19,-2.22",Martes martes|NHMSYS0000080190|Pine Marten|Animalia|Mustelidae,CC-BY,Accepted - considered correct,generalised,NJ8710,4220,NBNSYS0000169522,Camera trap | Private use,,
1e5052a8-5566-4d3f-8ff2-c9ef82ea31e9,28821074_4204216_44,MammalWeb,Craibstone_critters_24,NHMSYS0000080190,1707523200000,1704067200000,Martes martes,Pine Marten,species,7000,United Kingdom,Animalia,Chordata,Mammalia,Carnivora,Mustelidae,Martes,NBNSYS0000134898,Martes martes,NHMSYS0000080190,Scotland,57.19,-2.21,707.1,2024,02,MachineObservation,pictured,5215,5215,dp277,MammalWeb,dr2930,MammalWeb records,"['countryInferredByCoordinates', 'gridReferenceCalculatedFromLatLong']","['Animals', 'Mammals']",true,true,15620,['15620'],Martes martes,"57.19,-2.21","57,-2","57.2,-2.2","57.19,-2.21","57.19,-2.21","57.19,-2.21",Martes martes|NHMSYS0000080190|Pine Marten|Animalia|Mustelidae,CC-BY,Accepted - considered correct,generalised,NJ8710,4183,NBNSYS0000169522,Camera trap | Private use,,
00a99380-2c63-4c52-9e74-1267666f1a8e,35281150,,BRC website's forms | Mammal Atlas,NHMSYS0000080190,1711929600000,1704067200000,Martes martes,Pine Marten,species,7000,United Kingdom,Animalia,Chordata,Mammalia,Carnivora,Mustelidae,Martes,NBNSYS0000134898,Martes martes,NHMSYS0000080190,Scotland,56.173328,-3.596119,1414.2,2024,04,HumanObservation,,5215,5215,dp8,Mammal Society,dr671,"National Mammal Atlas Project, online recording","['firstOfMonth', 'decimalLatLongCalculatedFromGridReference', 'countryInferredByCoordinates']","['Animals', 'Mammals']",true,true,"Macrae, Sandra","['Macrae, S. Sandra']","Martes martes (Linnaeus, 1758)","56.173328,-3.596119","56,-4","56.2,-3.6","56.17,-3.6","56.173,-3.596","56.1733,-3.5961",Martes martes|NHMSYS0000080190|Pine Marten|Animalia|Mustelidae,CC-BY-NC,Accepted - correct,alreadyGeneralised,NT09E,,NHMSYS0000080190,,Pine Marten,
463dd61d-686f-4eee-a0b8-5389e42828d8,34971412,,iRecord | App,NHMSYS0000080190,1708646400000,1704067200000,Martes martes,Pine Marten,species,7000,United Kingdom,Animalia,Chordata,Mammalia,Carnivora,Mustelidae,Martes,NBNSYS0000134898,Martes martes,NHMSYS0000080190,Scotland,55.56,-2.92,707.1,2024,02,HumanObservation,,5215,5215,dp8,Mammal Society,dr671,"National Mammal Atlas Project, online recording","['geodeticDatumAssumedWgs84', 'countryInferredByCoordinates', 'gridReferenceCalculatedFromLatLong']","['Animals', 'Mammals']",true,true,"Palmer, Caitlin","['Palmer, C. Caitlin']","Martes martes (Linnaeus, 1758)","55.56,-2.92","56,-3","55.6,-2.9","55.56,-2.92","55.56,-2.92","55.56,-2.92",Martes martes|NHMSYS0000080190|Pine Marten|Animalia|Mustelidae,CC-BY-NC,Accepted - considered correct,generalised,NT4229,,NHMSYS0000080190,,Pine Marten,
0ba2beaf-8514-4503-a33f-28cd08c4035c,34631405,,iRecord | General data,NHMSYS0000080190,1705708800000,1704067200000,Martes martes,Pine Marten,species,7000,United Kingdom,Animalia,Chordata,Mammalia,Carnivora,Mustelidae,Martes,NBNSYS0000134898,Martes martes,NHMSYS0000080190,Scotland,56.18,-4.05,707.1,2024,01,HumanObservation,,5215,5215,dp8,Mammal Society,dr671,"National Mammal Atlas Project, online recording","['geodeticDatumAssumedWgs84', 'countryInferredByCoordinates', 'coordinatesNotCentreOfGrid']","['Animals', 'Mammals']",true,true,Matt Errington (Echoes Ecology),"['Errington, M. Matt']","Martes martes (Linnaeus, 1758)","56.18,-4.05","56,-4","56.2,-4","56.18,-4.05","56.18,-4.05","56.18,-4.05",Martes martes|NHMSYS0000080190|Pine Marten|Animalia|Mustelidae,CC-BY-NC,Accepted - correct,generalised,NN7200,,NHMSYS0000080190,,Pine Marten,['adult']
d19e0cf4-09fd-41bc-a7a0-6b8c0b2009c5,36415561,,iRecord | App,NHMSYS0000080190,1718236800000,1704067200000,Martes martes,Pine Marten,species,7000,United Kingdom,Animalia,Chordata,Mammalia,Carnivora,Mustelidae,Martes,NBNSYS0000134898,Martes martes,NHMSYS0000080190,Scotland,56.17,-3.61,707.1,2024,06,HumanObservation,,5215,5215,dp8,Mammal Society,dr671,"National Mammal Atlas Project, online recording","['geodeticDatumAssumedWgs84', 'countryInferredByCoordinates', 'gridReferenceCalculatedFromLatLong']","['Animals', 'Mammals']",true,true,John Gallacher,"['Gallacher, J. John']","Martes martes (Linnaeus, 1758)","56.17,-3.61","56,-4","56.2,-3.6","56.17,-3.61","56.17,-3.61","56.17,-3.61",Martes martes|NHMSYS0000080190|Pine Marten|Animalia|Mustelidae,CC-BY-NC,Accepted - correct,generalised,NT0098,,NHMSYS0000080190,,Pine Marten,
7b04ebab-ffc2-4586-b95f-035531e5ec05,35289277,,iRecord | General data,NHMSYS0000080190,1706486400000,1704067200000,Martes martes,Pine Marten,species,7000,United Kingdom,Animalia,Chordata,Mammalia,Carnivora,Mustelidae,Martes,NBNSYS0000134898,Martes martes,NHMSYS0000080190,Scotland,56.77,-2.73,707.1,2024,01,HumanObservation,,5215,5215,dp8,Mammal Society,dr671,"National Mammal Atlas Project, online recording","['geodeticDatumAssumedWgs84', 'countryInferredByCoordinates', 'coordinatesNotCentreOfGrid']","['Animals', 'Mammals']",true,true,"Torrance, Fiona","['Torrance, F. Fiona']","Martes martes (Linnaeus, 1758)","56.77,-2.73","57,-3","56.8,-2.7","56.77,-2.73","56.77,-2.73","56.77,-2.73",Martes martes|NHMSYS0000080190|Pine Marten|Animalia|Mustelidae,CC-BY-NC,Accepted - considered correct,generalised,NO5564,,NHMSYS0000080190,,Pine Marten,['not recorded']
957c3ed0-147a-4505-b339-7550ce3e3a3b,35085403,,Mammal Mapper | Transect sightings,NHMSYS0000080190,1709078400000,1704067200000,Martes martes,Pine Marten,species,7000,United Kingdom,Animalia,Chordata,Mammalia,Carnivora,Mustelidae,Martes,NBNSYS0000134898,Martes martes,NHMSYS0000080190,Scotland,56.317435,-3.56979,1414.2,2024,02,HumanObservation,,5215,5215,dp8,Mammal Society,dr2451,Mammal Mapper App Sighting Records,"['decimalLatLongCalculatedFromGridReference', 'countryInferredByCoordinates']","['Animals', 'Mammals']",true,true,David Howe,"['Howe, D. David']","Martes martes (Linnaeus, 1758)","56.317435,-3.56979","56,-4","56.3,-3.6","56.32,-3.57","56.317,-3.57","56.3174,-3.5698",Martes martes|NHMSYS0000080190|Pine Marten|Animalia|Mustelidae,CC-BY,Accepted - correct,alreadyGeneralised,NO01H,,NHMSYS0000080190,,Pine Marten,
e052db4a-d1f8-45cf-8a00-e8035b3e92e7,35719825,,BRC website's forms | Mammal Atlas,NHMSYS0000080190,1714435200000,1704067200000,Martes martes,Pine Marten,species,7000,United Kingdom,Animalia,Chordata,Mammalia,Carnivora,Mustelidae,Martes,NBNSYS0000134898,Martes martes,NHMSYS0000080190,Scotland,56.186205,-3.95116,1414.2,2024,04,HumanObservation,,5215,5215,dp8,Mammal Society,dr671,"National Mammal Atlas Project, online recording","['decimalLatLongCalculatedFromGridReference', 'countryInferredByCoordinates']","['Animals', 'Mammals']",true,true,"Castle, Shelagh","['Castle, S. Shelagh']","Martes martes (Linnaeus, 1758)","56.186205,-3.95116","56,-4","56.2,-4","56.19,-3.95","56.186,-3.951","56.1862,-3.9512",Martes martes|NHMSYS0000080190|Pine Marten|Animalia|Mustelidae,CC-BY-NC,Accepted - correct,alreadyGeneralised,NN70V,,NHMSYS0000080190,,Pine Marten,
b8635bc3-a201-4e04-b062-32c3fb9cb75d,35629019,,iRecord | App,NHMSYS0000080190,1714089600000,1704067200000,Martes martes,Pine Marten,species,7000,United Kingdom,Animalia,Chordata,Mammalia,Carnivora,Mustelidae,Martes,NBNSYS0000134898,Martes martes,NHMSYS0000080190,Scotland,56.17,-4.3,707.1,2024,04,HumanObservation,Trail camera,5215,5215,dp8,Mammal Society,dr671,"National Mammal Atlas Project, online recording","['geodeticDatumAssumedWgs84', 'countryInferredByCoordinates', 'gridReferenceCalculatedFromLatLong']","['Animals', 'Mammals']",true,true,Beverley Clarke,"['Clarke, B. Beverley']","Martes martes (Linnaeus, 1758)","56.17,-4.30","56,-4","56.2,-4.3","56.17,-4.3","56.17,-4.3","56.17,-4.3",Martes martes|NHMSYS0000080190|Pine Marten|Animalia|Mustelidae,CC-BY-NC,Accepted - correct,generalised,NN5700,,NHMSYS0000080190,,Pine Marten,
e32d0366-9661-4a5e-8a98-bc11e934d9cf,28820497_4204587_44,MammalWeb,Craibstone_critters_24,NHMSYS0000080190,1707609600000,1704067200000,Martes martes,Pine Marten,species,7000,United Kingdom,Animalia,Chordata,Mammalia,Carnivora,Mustelidae,Martes,NBNSYS0000134898,Martes martes,NHMSYS0000080190,Scotland,57.19,-2.22,707.1,2024,02,MachineObservation,pictured,5215,5215,dp277,MammalWeb,dr2930,MammalWeb records,"['countryInferredByCoordinates', 'gridReferenceCalculatedFromLatLong']","['Animals', 'Mammals']",true,true,15620,['15620'],Martes martes,"57.19,-2.22","57,-2","57.2,-2.2","57.19,-2.22","57.19,-2.22","57.19,-2.22",Martes martes|NHMSYS0000080190|Pine Marten|Animalia|Mustelidae,CC-BY,Accepted - considered correct,generalised,NJ8710,4220,NBNSYS0000169522,Camera trap | Private use,,
